Food code,Main food description,WWEIA number,WWEIA description,Energy (kcal),Protein (g),Carbohydrate (g),Total Sugars (g),Total Fiber (g),Total Fat (g),Water (g)
27311220,"Corned beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",3002,Meat mixed dishes,127,4.84,15.35,1.14,1.7,5.38,73.07
27311310,"Beef stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",3002,Meat mixed dishes,90,5.24,8.25,1.58,1.2,3.98,81.26
27311320,"Beef stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",3002,Meat mixed dishes,82,6.64,8.5,1.01,1.3,2.37,81.39
27311410,"Beef stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",3002,Meat mixed dishes,79,6.23,8.6,1.22,1.4,2.22,81.9
27311420,"Beef stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",3002,Meat mixed dishes,83,6.78,8.48,0.84,1.2,2.42,81.25
27311510,Shepherd's pie,3002,Meat mixed dishes,123,7.64,8.68,1.88,1.5,6.3,76.12
27311600,"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",3002,Meat mixed dishes,129,5.23,11.17,0.94,1.4,7.16,75.15
27311605,"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",3002,Meat mixed dishes,126,5.3,12.36,0.9,1.3,6.34,74.69
27311610,"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce",3002,Meat mixed dishes,127,5.28,11.13,1.29,1.4,7.06,75.21
27311620,"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cream sauce, white sauce, or mushroom sauce",3002,Meat mixed dishes,128,5.33,12.19,1.25,1.3,6.69,74.5
27311625,"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",3002,Meat mixed dishes,126,5.33,11.13,1.78,1.7,6.96,75.1
27311630,"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",3002,Meat mixed dishes,126,5.39,12.28,1.74,1.6,6.56,74.34
27311635,"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce",3002,Meat mixed dishes,127,8.14,11.82,0.96,1.4,5.43,73
27311640,"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",3002,Meat mixed dishes,131,8.17,12.97,0.91,1.3,5.43,71.84
27311645,"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",3404,Stir-fry and soy-based sauce mixtures,149,11.75,5.96,1.34,1.1,8.82,72.25
27311650,"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",3404,Stir-fry and soy-based sauce mixtures,148,11.77,5.78,1.47,0.9,8.81,72.46
27313010,"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",3002,Meat mixed dishes,148,8.71,16.71,0.91,1.5,5.19,68.02
27313020,"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",3002,Meat mixed dishes,151,8.78,18.29,0.84,1.4,4.91,66.73
27313110,Beef chow mein or chop suey with noodles,3402,Fried rice and lo/chow mein,129,10.78,11.17,1.55,1.5,4.89,71.85
27313150,"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",3404,Stir-fry and soy-based sauce mixtures,139,10.31,7.6,1.29,1.2,7.58,73.43
